match_id,league,date,matchday,team_home,team_away,stadium,capacity,home_city,away_city,home_station,home_lat,home_lon,away_station,away_lat,away_lon
77588,bl2,2025-08-09T20:30:00,2. Spieltag,1. FC Kaiserslautern,FC Schalke 04,Fritz-Walter-Stadion,49350,Kaiserslautern,Gelsenkirchen,Kaiserslautern Hauptbahnhof,49.4352378,7.7662774,Gelsenkirchen Hauptbahnhof,51.5047677,7.1022983
77585,bl2,2025-08-10T13:30:00,2. Spieltag,Holstein Kiel,Arminia Bielefeld,Holstein-Stadion,15034,Kiel,Bielefeld,Kiel Hauptbahnhof,54.3134463,10.1310136,Bielefeld Hauptbahnhof,52.0293323,8.5327135
77586,bl2,2025-08-10T13:30:00,2. Spieltag,VfL Bochum,SV 07 Elversberg,Vonovia Ruhrstadion,26000,Bochum,Spiesen-Elversberg,Bochum Hauptbahnhof,51.4785335,7.2232341,Spiesen-Elversberg (Zentrum),49.3145046,7.1369778
77590,bl2,2025-08-10T13:30:00,2. Spieltag,Hertha BSC,Karlsruher SC,Olympiastadion Berlin,74667,Berlin,Karlsruhe,Berlin Hauptbahnhof,52.5249451,13.3696614,Karlsruhe Hauptbahnhof,48.9940078,8.4016492
77594,bl2,2025-08-22T18:30:00,3. Spieltag,SV 07 Elversberg,1. FC Kaiserslautern,Ursapharm-Arena an der Kaiserlinde,9307,Spiesen-Elversberg,Kaiserslautern,Spiesen-Elversberg (Zentrum),49.3145046,7.1369778,Kaiserslautern Hauptbahnhof,49.4352378,7.7662774
77601,bl2,2025-08-22T18:30:00,3. Spieltag,Preußen Münster,1. FC Nürnberg,LVM-Preußenstadion,12794,Münster,Nürnberg,Münster Hauptbahnhof,51.9564055,7.635792,Nürnberg Hauptbahnhof,49.4462031,11.0818654
77595,bl2,2025-08-23T13:00:00,3. Spieltag,SC Paderborn 07,Fortuna Düsseldorf,Home Deluxe Arena,15000,Paderborn,Düsseldorf,Paderborn Hauptbahnhof,51.7128598,8.7404385,Düsseldorf Hauptbahnhof,51.219734,6.7943015
77596,bl2,2025-08-23T13:00:00,3. Spieltag,Karlsruher SC,Eintracht Braunschweig,BBBank Wildpark,33180,Karlsruhe,Braunschweig,Karlsruhe Hauptbahnhof,48.9940078,8.4016492,Braunschweig Hauptbahnhof,52.2527622,10.5398097
77597,bl2,2025-08-23T13:00:00,3. Spieltag,Hannover 96,1. FC Magdeburg,Heinz-von-Heiden-Arena,49000,Hannover,Magdeburg,Hannover Hauptbahnhof,52.3769504,9.7416533,Magdeburg Hauptbahnhof,52.1305167,11.6267187
77600,bl2,2025-08-23T20:30:00,3. Spieltag,FC Schalke 04,VfL Bochum,Veltins-Arena,62278,Gelsenkirchen,Bochum,Gelsenkirchen Hauptbahnhof,51.5047677,7.1022983,Bochum Hauptbahnhof,51.4785335,7.2232341
77598,bl2,2025-08-24T13:30:00,3. Spieltag,SV Darmstadt 98,Hertha BSC,Merck-Stadion am Böllenfalltor,17810,Darmstadt,Berlin,Darmstadt Hauptbahnhof,49.8728528,8.6294113,Berlin Hauptbahnhof,52.5249451,13.3696614
77599,bl2,2025-08-24T13:30:00,3. Spieltag,SpVgg Greuther Fürth,Holstein Kiel,Sportpark Ronhof | Thomas Sommer,16626,Fürth,Kiel,Fürth Hauptbahnhof,49.4703063,10.9912982,Kiel Hauptbahnhof,54.3134463,10.1310136
77602,bl2,2025-08-24T13:30:00,3. Spieltag,Arminia Bielefeld,Dynamo Dresden,SchücoArena,27332,Bielefeld,Dresden,Bielefeld Hauptbahnhof,52.0293323,8.5327135,Dresden Hauptbahnhof,51.0403927,13.731467
77608,bl2,2025-08-29T18:30:00,4. Spieltag,1. FC Nürnberg,SC Paderborn 07,Max-Morlock-Stadion,50000,Nürnberg,Paderborn,Nürnberg Hauptbahnhof,49.4462031,11.0818654,Paderborn Hauptbahnhof,51.7128598,8.7404385
77609,bl2,2025-08-29T18:30:00,4. Spieltag,Hertha BSC,SV 07 Elversberg,Olympiastadion Berlin,74667,Berlin,Spiesen-Elversberg,Berlin Hauptbahnhof,52.5249451,13.3696614,Spiesen-Elversberg (Zentrum),49.3145046,7.1369778
77603,bl2,2025-08-30T13:00:00,4. Spieltag,Holstein Kiel,Hannover 96,Holstein-Stadion,15034,Kiel,Hannover,Kiel Hauptbahnhof,54.3134463,10.1310136,Hannover Hauptbahnhof,52.3769504,9.7416533
77604,bl2,2025-08-30T13:00:00,4. Spieltag,VfL Bochum,Preußen Münster,Vonovia Ruhrstadion,26000,Bochum,Münster,Bochum Hauptbahnhof,51.4785335,7.2232341,Münster Hauptbahnhof,51.9564055,7.635792
77610,bl2,2025-08-30T13:00:00,4. Spieltag,Eintracht Braunschweig,Arminia Bielefeld,EINTRACHT-Stadion,23325,Braunschweig,Bielefeld,Braunschweig Hauptbahnhof,52.2527622,10.5398097,Bielefeld Hauptbahnhof,52.0293323,8.5327135
